3,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
3,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
3,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
3,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4805,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4804,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4804,,Fantasy Action Adventure ,,464052,dc comics based on comic 1980s action hero dc extended universe ,,Wonder Woman 1984,,,,,,,,,,,Wonder Woman 1984,,,,,Patty Jenkins
4804,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4804,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4804,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4805,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4803,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4803,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4803,,Drama Science Fiction ,,614911,based on novel or book nuclear radiation space travel post-apocalyptic future arctic end of the world cancer astronaut space exploration space adventure space walk ,,The Midnight Sky,,,,,,,,,,,The Midnight Sky,,,,,Lee Grumett
4803,,Drama ,,334541,"boat sadness boston, massachusetts massachusetts funeral brother loss grief dysfunctional family hospital house fire death nephew ex-wife nonlinear timeline mental health ex-husband ex-wife relationship legal guardian dysfunctional life ",,Manchester by the Sea,,,,,,,,,,,Manchester by the Sea,,,,,Andrea Ulrich
4803,,Drama ,,334541,"boat sadness boston, massachusetts massachusetts funeral brother loss grief dysfunctional family hospital house fire death nephew ex-wife nonlinear timeline mental health ex-husband ex-wife relationship legal guardian dysfunctional life ",,Manchester by the Sea,,,,,,,,,,,Manchester by the Sea,,,,,Andrea Ulrich
4803,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4803,,Drama Science Fiction ,,614911,based on novel or book nuclear radiation space travel post-apocalyptic future arctic end of the world cancer astronaut space exploration space adventure space walk ,,The Midnight Sky,,,,,,,,,,,The Midnight Sky,,,,,Lee Grumett
4803,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4803,,Drama Science Fiction ,,614911,based on novel or book nuclear radiation space travel post-apocalyptic future arctic end of the world cancer astronaut space exploration space adventure space walk ,,The Midnight Sky,,,,,,,,,,,The Midnight Sky,,,,,Lee Grumett
4810,,War Drama Action Thriller ,,530915,world war i british army race against time soldier trenches 1910s trench warfare collection no man's land ,,1917,,,,,,,,,,,1917,,,,,Sam Mendes
4803,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4803,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
4803,,Action Thriller Science Fiction ,,577922,"spy assassin airport norway fire engine time mumbai (bombay), india time travel arms dealer espionage crime scene terrorism car chase swat team terrorist attack terrorist plot time traveler palindrome time paradox kiev russia spy thriller tallinn 2020s ",,Tenet,,,,,,,,,,,Tenet,,,,,Christopher Nolan
